Id,Source,Target
0,XLM,BUSD
1,ETHUP,USDT
2,ADX,BTC
3,DOT,BUSD
4,BCD,BTC
5,FIL,USD
6,LTC,BUSD
7,YFI,USDT
8,BZRX,USDT
9,LINK,USD
10,BTG,BTC
11,CTXC,USDT
12,DNT,USDT
13,ZIL,BTC
14,LTC,USD
15,SRM,BTC
16,ALGO,BTC
17,ZRX,BTC
18,ENJ,USDT
19,THETA,USDT
20,UNI,USDT
21,XTZUP,USDT
22,UNFI,USDT
23,IOST,USDT
24,BAT,USDT
25,REN,BTC
26,HBAR,USDT
27,SOL,BUSD
28,ZEN,USDT
29,LRC,USDT
30,APPC,BTC
31,LINK,BTC
32,XRP,USD
33,XLM,BTC
34,CHZ,USDT
35,HOT,USDT
36,OMG,USDT
37,ETH,GBP
38,AVAX,USDT
39,LTC,BTC
40,AAVE,USDT
41,KSM,BTC
42,BTC,USDC
43,BCH,EUR
44,LTO,BTC
45,BAND,USDT
46,COTI,USDT
47,ZEC,BTC
48,ALPHA,USDT
49,DGB,USDT
50,WAN,USDT
51,AXS,USDT
52,LINK,ETH
53,XLM,ETH
54,EGLD,USD
55,XRP,BTC
56,ADA,USD
57,LTC,ETH
58,OXT,USDT
59,LINK,USDC
60,ZIL,USDT
61,LTC,USDC
62,BTC,EUR
63,EOSDOWN,USDT
64,SRM,USDT
65,ALGO,USDT
66,SUSHI,BTC
67,QTUM,BTC
68,DNT,BTC
69,ZRX,USDT
70,MATIC,USDT
71,BTT,USDT
72,CVC,BTC
73,EOS,USDT
74,TRX,BUSD
75,WBTC,BTC
76,XRP,ETH
77,EGLD,BTC
78,REN,USDT
79,FIL,USDT
80,ETH,TUSD
81,ADA,BTC
82,ETC,USD
83,LINK,USDT
84,XLM,USDT
85,XRP,USDC
86,LTC,USDT
87,XVG,BTC
88,EUR,BUSD
89,FTM,USDT
90,XMR,BTC
91,KSM,USDT
92,DOGE,BTC
93,NEO,USDT
94,LTO,USDT
95,YFII,BTC
96,OGN,USDT
97,WBTC,ETH
98,SC,USDT
99,ZEC,USDT
100,ADA,ETH
101,XRP,EUR
102,ETC,BTC
103,COTI,BTC
104,ALPHA,BTC
105,ETH,TRY
106,EOS,USD
107,TOMO,BTC
108,BNB,USD
109,SUSHIDOWN,USDT
110,MKR,BUSD
111,ETH,BUSD
112,KP3R,BUSD
113,ETH,PAX
114,SUSHI,USDT
115,DOT,USD
116,QTUM,USDT
117,KAVA,USDT
118,CVC,USDT
119,EOSUP,USDT
120,ADA,EUR
121,EGLD,USDT
122,SKL,USDT
123,DASH,USDT
124,MATIC,BTC
125,XRPUP,USDT
126,ADA,USDT
127,EOS,BTC
128,BNB,BTC
129,FIL,BTC
130,TFUEL,USDT
131,BTC,GBP
132,DOT,BTC
133,DOGE,USDT
134,XMR,USDT
135,BTCUP,USDT
136,SUSHIUP,USDT
137,XTZ,BTC
138,YFII,USDT
139,REEF,USDT
140,FET,USDT
141,NEO,BTC
142,ONT,BTC
143,EOS,ETH
144,GBP,BUSD
145,BNB,ETH
146,ETC,USDT
147,TOMO,USDT
148,NEAR,USDT
149,YFI,BUSD
150,FLM,USDT
151,AUD,USDT
152,ADAUP,USDT
153,SXPDOWN,USDT
154,SNX,BTC
155,SOL,BTC
156,1INCH,BTC
157,BCPT,BTC
158,BAL,USDT
159,KNC,BTC
160,OCEAN,BTC
161,IOTA,USDT
162,ICX,BTC
163,MANA,USDT
164,BNB,USDT
165,XEM,BTC
166,DCR,BTC
167,DASH,BTC
168,BTC,TUSD
169,XLM,EUR
170,TRX,USD
171,DOT,USDT
172,HNT,USDT
173,LTC,EUR
174,YFIDOWN,USDT
175,XTZ,USDT
176,TUSD,USDT
177,LSK,USDT
178,BCH,BUSD
179,DOTUP,USDT
180,ONT,USDT
181,BCH,USD
182,USDT,TRY
183,GVT,BTC
184,NPXS,USDT
185,NANO,BTC
186,TRX,BTC
187,BTC,TRY
188,RLC,BTC
189,SOL,USDT
190,SNX,USDT
191,1INCH,USDT
192,NEAR,BTC
193,BTC,BUSD
194,BTC,PAX
195,ANKR,USDT
196,KNC,USDT
197,RSR,USDT
198,OCEAN,USDT
199,ETH,USD
200,BTC,BRL
201,ICX,USDT
202,BCH,BTC
203,ATOM,BTC
204,LTCUP,USDT
205,TRX,ETH
206,XEM,USDT
207,IOTA,BTC
208,LINK,BUSD
209,ETH,DAI
210,SXPUP,USDT
211,WAVES,BTC
212,XVS,USDT
213,TRX,USDC
214,BLZ,USDT
215,BUSD,USDT
216,SXP,BUSD
217,MKR,BTC
218,CRV,USDT
219,RUNE,USDT
220,ETH,BTC
221,VET,USDT
222,BCH,USDC
223,PAX,USDT
224,XRP,BUSD
225,KEY,USDT
226,LUNA,BTC
227,TRB,USDT
228,DIA,USDT
229,NANO,USDT
230,XRPDOWN,USDT
231,RDN,BTC
232,BQX,BTC
233,TRX,USDT
234,RLC,USDT
235,GRT,BTC
236,JST,USDT
237,BTCDOWN,USDT
238,BEL,USDT
239,USDT,NGN
240,SUSHI,BUSD
241,RVN,USDT
242,EUR,USDT
243,SXP,BTC
244,ETH,USDC
245,BTC,NGN
246,ROSE,USDT
247,ONE,BTC
248,BCH,USDT
249,ATOM,USDT
250,ANKR,BTC
251,EGLD,BUSD
252,STX,USDT
253,RSR,BTC
254,XLMUP,USDT
255,ADA,BUSD
256,STORJ,USDT
257,BUSD,DAI
258,AST,BTC
259,NPXS,ETH
260,WAVES,USDT
261,ETHDOWN,USDT
262,YFIUP,USDT
263,LINKUP,USDT
264,ETH,EUR
265,ANT,USDT
266,MKR,USDT
267,YFI,BTC
268,BTC,USDT
269,ETH,USDT
270,CTXC,BTC
271,EVX,BTC
272,XLMDOWN,USDT
273,COMP,USDT
274,CRV,BTC
275,ETC,BUSD
276,RUNE,BTC
277,BTC,AUD
278,LUNA,USDT
279,VET,BTC
280,ENJ,BTC
281,THETA,BTC
282,UNI,BTC
283,GRT,USDT
284,DENT,USDT
285,IOST,BTC
286,BAT,BTC
287,HBAR,BTC
288,LRC,BTC
289,OMG,BTC
290,HARD,USDT
291,AVAX,BTC
292,SXP,USDT
293,ARPA,USDT
294,ONE,USDT
295,AAVE,BTC
296,TRXUP,USDT
297,BTC,USD
298,EOS,BUSD
299,BNB,BUSD
300,USDT,DAI
301,BAND,BTC
302,XRP,USDT
303,IOST,ETH
304,CTK,USDT
305,GBP,USDT
306,USDC,USDT
307,STORJ,BTC
308,DGB,BTC
309,BTC,DAI
